username,d_strength,week
Allen Welch,-1.826686357038433,0
Amanda Campos,5.996271418985572,0
Amy Davis,0.944654623225432,0
Angela Robinson,1.1384235962087814,0
Brian Flowers,3.825431278760668,0
Carol Harris,-4.849108701896853,0
Cassandra Bauer,-5.267526060076413,0
Cynthia Snyder,-0.519651404532155,0
Diana Smith,8.81986238736193,0
Dwayne Love,-2.9095697061238184,0
Dylan Henderson,-4.164139900411804,0
Dylan Ortiz,-2.117664471858273,0
Ebony Beck,6.574313770484871,0
Edward Hensley,1.8902368828490594,0
Edward Murphy,6.156330610013338,0
Elizabeth Hall,0.8508644056378003,0
Emily Wiley,-10.185427051451093,0
Ethan Morales,5.763234242501124,0
Holly Henderson,2.847836882617088,0
Jackson Taylor,2.6360178811821378,0
Jacob Hamilton,1.129438423336829,0
Jacob Walker,-1.2233940744436467,0
Jacqueline Mccarthy,-1.6341359897249248,0
Jason Ortiz,-5.226691378601743,0
Jennifer Patton,5.849184657820288,0
Joanne Vasquez,-0.19196641547440407,0
Joshua Anderson,1.0315207831250746,0
Karen Williams,-2.4437052330317286,0
Kayla Collins,0.8454037923494901,0
Kelly Smith,0.6179990111192097,0
Kimberly Rodriguez,-2.8850908223360747,0
Kristin Gibson,1.9265101138467742,0
Lisa Hoffman,0.5673947659485208,0
Matthew Johnson,2.831714714182233,0
Matthew Rangel,0.8630287107833077,0
Michael Smith,-8.204653387978066,0
Michelle Cooper,3.0737273675888233,0
Nancy Hart,1.9430164297091004,0
Nicole Gilmore,1.1434087982370187,0
Nicole Matthews,-1.9718804367735885,0
Paul Russell,4.915023801537831,0
Paula Salazar,4.697611870830464,0
Richard Daugherty,4.916696464057836,0
Ricky Goodman,-1.5689602632004025,0
Ricky Vasquez,1.031244575126486,0
Robert Bailey,7.121159293186636,0
Robert Kelly,4.622084181852706,0
Robert Martinez,3.8555872296936258,0
Sandra Booth,0.39656736985600105,0
Sarah Duffy,9.425774459790794,0
Sean Santiago,3.03174119877189,0
Susan Miller,1.4043020809006546,0
Tammy Chaney,3.1797160222855183,0
Thomas Lopez,0.641364931659453,0
Thomas Martin,-6.240387284297043,0
Allen Welch,-2.427426570220206,1
Amanda Campos,0.5044029548385467,1
Amy Davis,-7.680440042814787,1
Angela Robinson,4.959034963273943,1
Brian Flowers,-3.7655613707924367,1
Carol Harris,1.2632206850377656,1
Cynthia Snyder,4.282857701343168,1
Diana Smith,-3.473265428745954,1
Dwayne Love,1.2929458635787228,1
Dylan Henderson,-3.6810996613018645,1
Dylan Ortiz,-2.695073508589946,1
Ebony Beck,4.514040360094938,1
Edward Hensley,-0.28672926772004814,1
Edward Murphy,1.767171493921957,1
Elizabeth Hall,-5.546532249808884,1
Emily Wiley,8.300030921264742,1
Ethan Morales,-3.2590241875941324,1
Holly Henderson,1.7063003975832949,1
Jackson Taylor,0.8772803006251735,1
Jacob Walker,0.019619736335748428,1
Jacqueline Mccarthy,1.1894107963600327,1
Jason Ortiz,2.2776308957411757,1
Jennifer Patton,3.792272277362237,1
Joanne Vasquez,5.752822838873268,1
Joshua Anderson,-4.883727927737333,1
Karen Williams,17.4673579849917,1
Kayla Collins,0.5212814914994013,1
Kelly Smith,-4.798126675613041,1
Kimberly Rodriguez,-3.536336547534553,1
Kristin Gibson,-6.19374699876834,1
Lisa Hoffman,-2.5600826659672506,1
Matthew Johnson,-0.9258970847279073,1
Matthew Rangel,-0.5216882009753903,1
Michael Smith,2.6173866926762344,1
Michelle Cooper,5.2841373922755395,1
Nicole Gilmore,-0.5769912106420634,1
Nicole Matthews,-11.454721119582985,1
Paul Russell,-1.4463672089003765,1
Richard Daugherty,3.678026893062281,1
Ricky Goodman,3.1588029068393766,1
Ricky Vasquez,9.461685218591182,1
Robert Bailey,-7.374997865552263,1
Robert Kelly,1.1701581570534998,1
Robert Martinez,-2.7907184378823047,1
Sandra Booth,1.0460853193764947,1
Sarah Duffy,-6.583925268813381,1
Susan Miller,-2.180194284401759,1
Tammy Chaney,-0.42163153223646077,1
Thomas Lopez,2.4507468550421585,1
Thomas Martin,4.379805440225059,1
Allen Welch,-3.8292053118071365,2
Amanda Campos,4.819225755780714,2
Amy Davis,-4.704521175085972,2
Angela Robinson,-2.5687356733366684,2
Brian Flowers,4.169354077306181,2
Carol Harris,5.704745453267016,2
Christopher Stephens,0.7589737924364002,2
Cynthia Snyder,2.0599880437600646,2
Diana Smith,6.6051687751411094,2
Dwayne Love,5.1722916226302615,2
Dylan Henderson,0.22273989253449145,2
Dylan Ortiz,2.896035937372492,2
Ebony Beck,1.4270491321227823,2
Edward Hensley,4.2157635806398375,2
Edward Murphy,3.8343474644391975,2
Elizabeth Hall,0.6262986267497581,2
Emily Wiley,-3.849906514994828,2
Ethan Morales,6.146640632200249,2
Holly Henderson,-2.911192175066237,2
Holly Sanford,-0.9971700679298117,2
Jackson Taylor,-3.145969513528488,2
Jacob Walker,-0.30489434469790666,2
Jacqueline Mccarthy,7.4219432037902,2
Jason Ortiz,-0.9450039901143015,2
Jennifer Patton,2.7060322563628247,2
Joanne Vasquez,-0.19120881645763887,2
Joshua Anderson,5.6864858892953905,2
Karen Williams,-29.542070369969352,2
Kayla Collins,-2.378863460419179,2
Kelly Smith,-2.747069366065432,2
Kimberly Rodriguez,2.248407887413986,2
Lisa Hoffman,9.645013332208844,2
Matthew Johnson,2.307334217891487,2
Matthew Rangel,-0.8984383900174819,2
Michael Smith,0.9738859397402599,2
Michelle Cooper,2.266340983139685,2
Nicole Gilmore,6.821282985099721,2
Nicole Matthews,9.695135982652282,2
Paul Russell,2.380852306056088,2
Richard Daugherty,2.5796887524927996,2
Ricky Goodman,1.824538326740317,2
Ricky Vasquez,-3.976895718620426,2
Robert Bailey,5.204420869832543,2
Robert Kelly,6.322552940345872,2
Robert Martinez,0.7483457038664838,2
Sandra Booth,0.522261995463893,2
Sarah Duffy,-2.77618716357329,2
Susan Miller,0.23543498676177066,2
Tammy Chaney,7.159809537308682,2
Thomas Lopez,0.37664376910430164,2
Thomas Martin,-0.7390813241640259,2
Allen Welch,-2.5274513091055155,3
Amanda Campos,-1.0021299567786812,3
Amy Davis,2.963639693298031,3
Angela Robinson,-6.8927411163907095,3
Brian Flowers,4.800519914626957,3
Carol Harris,0.7738069871134527,3
Cassandra Bauer,-1.4918278326115626,3
Christopher Stephens,-2.8859683658553195,3
Cynthia Snyder,-5.068153779049261,3
Diana Smith,-2.5563661492568173,3
Dwayne Love,-4.276319261820724,3
Dylan Henderson,-1.607079252901542,3
Dylan Ortiz,8.369111620106764,3
Ebony Beck,-3.24585496104563,3
Edward Hensley,-3.0204939300990645,3
Edward Murphy,-0.09637210273243113,3
Elizabeth Hall,4.663790414167053,3
Emily Wiley,0.8919864347008755,3
Erin Roach,8.31311683812007,3
Holly Sanford,-1.005687585258471,3
Jackson Taylor,2.303970069801089,3
Jacob Walker,2.018425662675554,3
Jacqueline Mccarthy,-3.676527726959776,3
Jason Ortiz,8.236536207965468,3
Jennifer Patton,-4.962882496445701,3
Joanne Vasquez,2.2747964614797347,3
Joshua Anderson,3.9894941152869805,3
Karen Williams,-4.493851536958175,3
Kayla Collins,-1.4680775850344574,3
Kelly Smith,-0.4962942714206804,3
